id,title,description,link,requiresCode,accessCode,category,type,roles
mat-001,Introduction to Linear Algebra,A beginner-friendly walkthrough of vectors and matrices.,https://www.youtube.com/watch?v=fNk_zzaMoSs,FALSE,,kick_off,article,"UX, PM"
mat-002,Calculus — Limits and Derivatives,Core concepts of differential calculus explained step by step.,https://www.youtube.com/watch?v=WUvTyaaNkzM,FALSE,,kick_off,article,"UX, PM"
mat-003,Probability & Statistics — Full Course,Comprehensive lecture series covering descriptive and inferential statistics.,https://www.youtube.com/watch?v=xxpc-HPKN28,TRUE,STAT2024,user_research,notebook_lm,"UX, PM"
mat-004,Python for Data Science — Cheat Sheet,Quick reference PDF covering pandas numpy and matplotlib.,https://assets.datacamp.com/blog_assets/PythonForDataScience.pdf,FALSE,,kick_off,report,"UX, PM"
mat-005,Machine Learning Fundamentals,Lecture notes and exercises from Stanford CS229.,https://cs229.stanford.edu/notes2022fall/main_notes.pdf,TRUE,ML2024,research_report,report,"UX, PM"
mat-006,Git & GitHub — Interactive Tutorial,Hands-on guide to version control workflows and pull requests.,https://learngitbranching.js.org,FALSE,,prototyping,article,"UX, PM"
mat-007,React — Official Documentation,Complete reference for React 18 hooks components and patterns.,https://react.dev/learn,FALSE,,prototyping,figma_file,"UX, PM"
mat-008,Advanced TypeScript Patterns,Deep dive into generics conditional types and utility types.,https://www.youtube.com/watch?v=jjMbPt_H3RQ,TRUE,TS_ADV,prototyping,gemini_gem,"UX, PM"
mat-009,CSS Grid & Flexbox — Visual Guide,Interactive playground for mastering modern CSS layout techniques.,https://css-tricks.com/snippets/css/complete-guide-grid,FALSE,,prototyping,figjam_board,"UX, PM"
mat-010,System Design Primer,Study guide for designing scalable distributed systems.,https://github.com/donnemartin/system-design-primer,FALSE,,competitive_analysis,report,"UX, PM"
mat-011,Algorithms — Sorting & Searching,Video lectures covering quicksort mergesort and binary search with complexity analysis.,https://www.youtube.com/watch?v=kgBjXUE_Nwc,FALSE,,user_research,gemini_prompt,"UX, PM"
mat-012,Database Design — Normalization,Practical guide to 1NF 2NF and 3NF with worked examples.,https://www.youtube.com/watch?v=GFQaEYEc8_8,TRUE,DB2024,competitive_analysis,notebook_lm,"UX, PM"
mat-013,Figma for Developers,How to read Figma files extract tokens and hand off designs to code.,https://www.youtube.com/watch?v=B242nuM3y2s,FALSE,,prototyping,figma_file,"UX, PM"
mat-014,UX Research Methods — Workbook,PDF workbook with templates for user interviews usability tests and affinity mapping.,https://www.nngroup.com/reports/ux-research-methods-report,TRUE,UXR_PRO,user_research,report,"UX, PM"
mat-015,HTTP & REST APIs Explained,Visual explainer of request-response cycles status codes and REST conventions.,https://www.youtube.com/watch?v=-MTSQjw5DrM,FALSE,,kick_off,gemini_prompt,"UX, PM"
